@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
200,0,680,120,0.85,1,0.227273,1,0.772727,0.37037,0.88,1.136364,0.003322
200,0,679,121,0.84875,1,0.227531,1,0.772469,0.370714,0.879,1.137656,0.003375
200,0,678,122,0.8475,1,0.22779,1,0.77221,0.371058,0.878,1.138952,0.003384
200,0,677,123,0.84625,1,0.22805,1,0.77195,0.371402,0.877,1.140251,0.003398
200,0,676,124,0.845,1,0.228311,1,0.771689,0.371747,0.876,1.141553,0.00342
200,0,675,125,0.84375,1,0.228571,1,0.771429,0.372093,0.875,1.142857,0.003435
200,0,674,126,0.8425,1,0.228833,1,0.771167,0.372439,0.874,1.144165,0.003477
200,0,673,127,0.84125,1,0.229095,1,0.770905,0.372787,0.873,1.145475,0.003482
200,0,672,128,0.84,1,0.229358,1,0.770642,0.373134,0.872,1.146789,0.003502
200,0,671,129,0.83875,1,0.229621,1,0.770379,0.373483,0.871,1.148106,0.003505
200,0,670,130,0.8375,1,0.229885,1,0.770115,0.373832,0.87,1.149425,0.0036
200,0,669,131,0.83625,1,0.23015,1,0.76985,0.374181,0.869,1.150748,0.003645
200,0,668,132,0.835,1,0.230415,1,0.769585,0.374532,0.868,1.152074,0.003651
200,0,667,133,0.83375,1,0.230681,1,0.769319,0.374883,0.867,1.153403,0.003653
200,0,666,134,0.8325,1,0.230947,1,0.769053,0.375235,0.866,1.154734,0.003774
200,0,665,135,0.83125,1,0.231214,1,0.768786,0.375587,0.865,1.156069,0.003877
200,0,664,136,0.83,1,0.231481,1,0.768519,0.37594,0.864,1.157407,0.003881
200,0,663,137,0.82875,1,0.23175,1,0.76825,0.376294,0.863,1.158749,0.003893
200,0,662,138,0.8275,1,0.232019,1,0.767981,0.376648,0.862,1.160093,0.003911
200,0,661,139,0.82625,1,0.232288,1,0.767712,0.377003,0.861,1.16144,0.00395
200,0,660,140,0.825,1,0.232558,1,0.767442,0.377358,0.86,1.162791,0.004025
200,0,659,141,0.82375,1,0.232829,1,0.767171,0.377715,0.859,1.164144,0.004047
200,0,658,142,0.8225,1,0.2331,1,0.7669,0.378072,0.858,1.165501,0.004051
200,0,657,143,0.82125,1,0.233372,1,0.766628,0.37843,0.857,1.166861,0.004124
200,0,656,144,0.82,1,0.233645,1,0.766355,0.378788,0.856,1.168224,0.004193
200,0,655,145,0.81875,1,0.233918,1,0.766082,0.379147,0.855,1.169591,0.004202
200,0,654,146,0.8175,1,0.234192,1,0.765808,0.379507,0.854,1.17096,0.004236
200,0,653,147,0.81625,1,0.234467,1,0.765533,0.379867,0.853,1.172333,0.004306
200,0,652,148,0.815,1,0.234742,1,0.765258,0.380228,0.852,1.173709,0.004317
200,0,651,149,0.81375,1,0.235018,1,0.764982,0.38059,0.851,1.175088,0.004454
200,0,650,150,0.8125,1,0.235294,1,0.764706,0.380952,0.85,1.176471,0.004473
200,0,649,151,0.81125,1,0.235571,1,0.764429,0.381316,0.849,1.177856,0.004487
200,0,648,152,0.81,1,0.235849,1,0.764151,0.381679,0.848,1.179245,0.004493
200,0,647,153,0.80875,1,0.236128,1,0.763872,0.382044,0.847,1.180638,0.004522
200,0,646,154,0.8075,1,0.236407,1,0.763593,0.382409,0.846,1.182033,0.004593
200,0,645,155,0.80625,1,0.236686,1,0.763314,0.382775,0.845,1.183432,0.004622
200,0,642,158,0.8025,1,0.23753,1,0.76247,0.383877,0.842,1.187648,0.004632
200,0,641,159,0.80125,1,0.237812,1,0.762188,0.384246,0.841,1.189061,0.004711
200,0,640,160,0.8,1,0.238095,1,0.761905,0.384615,0.84,1.190476,0.004713
200,0,639,161,0.79875,1,0.238379,1,0.761621,0.384986,0.839,1.191895,0.004724
200,0,638,162,0.7975,1,0.238663,1,0.761337,0.385356,0.838,1.193317,0.004772
200,0,637,163,0.79625,1,0.238949,1,0.761051,0.385728,0.837,1.194743,0.004803
200,0,636,164,0.795,1,0.239234,1,0.760766,0.3861,0.836,1.196172,0.004828
200,0,635,165,0.79375,1,0.239521,1,0.760479,0.386473,0.835,1.197605,0.004904
200,0,634,166,0.7925,1,0.239808,1,0.760192,0.386847,0.834,1.199041,0.004914
200,0,633,167,0.79125,1,0.240096,1,0.759904,0.387222,0.833,1.20048,0.004982
200,0,632,168,0.79,1,0.240385,1,0.759615,0.387597,0.832,1.201923,0.004986
200,0,631,169,0.78875,1,0.240674,1,0.759326,0.387973,0.831,1.203369,0.005054
200,0,630,170,0.7875,1,0.240964,1,0.759036,0.38835,0.83,1.204819,0.005081
200,0,629,171,0.78625,1,0.241255,1,0.758745,0.388727,0.829,1.206273,0.005126
200,0,628,172,0.785,1,0.241546,1,0.758454,0.389105,0.828,1.207729,0.005133
200,0,627,173,0.78375,1,0.241838,1,0.758162,0.389484,0.827,1.20919,0.005195
200,0,626,174,0.7825,1,0.242131,1,0.757869,0.389864,0.826,1.210654,0.005198
200,0,625,175,0.78125,1,0.242424,1,0.757576,0.390244,0.825,1.212121,0.005222
200,0,624,176,0.78,1,0.242718,1,0.757282,0.390625,0.824,1.213592,0.005279
200,0,623,177,0.77875,1,0.243013,1,0.756987,0.391007,0.823,1.215067,0.005289
200,0,621,179,0.77625,1,0.243605,1,0.756395,0.391773,0.821,1.218027,0.005296
200,0,620,180,0.775,1,0.243902,1,0.756098,0.392157,0.82,1.219512,0.005305
200,0,619,181,0.77375,1,0.2442,1,0.7558,0.392542,0.819,1.221001,0.005307
200,0,618,182,0.7725,1,0.244499,1,0.755501,0.392927,0.818,1.222494,0.005407
200,0,616,184,0.77,1,0.245098,1,0.754902,0.393701,0.816,1.22549,0.00542
200,0,615,185,0.76875,1,0.245399,1,0.754601,0.394089,0.815,1.226994,0.005501
200,0,614,186,0.7675,1,0.2457,1,0.7543,0.394477,0.814,1.228501,0.005623
200,0,613,187,0.76625,1,0.246002,1,0.753998,0.394867,0.813,1.230012,0.005656
200,0,612,188,0.765,1,0.246305,1,0.753695,0.395257,0.812,1.231527,0.005693
200,0,611,189,0.76375,1,0.246609,1,0.753391,0.395648,0.811,1.233046,0.005713
200,0,610,190,0.7625,1,0.246914,1,0.753086,0.39604,0.81,1.234568,0.005717
200,0,609,191,0.76125,1,0.247219,1,0.752781,0.396432,0.809,1.236094,0.005799
200,0,608,192,0.76,1,0.247525,1,0.752475,0.396825,0.808,1.237624,0.005807
200,0,607,193,0.75875,1,0.247831,1,0.752169,0.397219,0.807,1.239157,0.005851
200,0,606,194,0.7575,1,0.248139,1,0.751861,0.397614,0.806,1.240695,0.005928
200,0,605,195,0.75625,1,0.248447,1,0.751553,0.39801,0.805,1.242236,0.005967
200,0,604,196,0.755,1,0.248756,1,0.751244,0.398406,0.804,1.243781,0.005984
200,0,603,197,0.75375,1,0.249066,1,0.750934,0.398804,0.803,1.24533,0.005987
200,0,602,198,0.7525,1,0.249377,1,0.750623,0.399202,0.802,1.246883,0.006007
200,0,601,199,0.75125,1,0.249688,1,0.750312,0.3996,0.801,1.248439,0.006031
200,0,600,200,0.75,1,0.25,1,0.75,0.4,0.8,1.25,0.006095
200,0,599,201,0.74875,1,0.250313,1,0.749687,0.4004,0.799,1.251564,0.006137
200,0,598,202,0.7475,1,0.250627,1,0.749373,0.400802,0.798,1.253133,0.006175
200,0,597,203,0.74625,1,0.250941,1,0.749059,0.401204,0.797,1.254705,0.00625
200,0,596,204,0.745,1,0.251256,1,0.748744,0.401606,0.796,1.256281,0.006271
200,0,595,205,0.74375,1,0.251572,1,0.748428,0.40201,0.795,1.257862,0.006301
200,0,594,206,0.7425,1,0.251889,1,0.748111,0.402414,0.794,1.259446,0.006325
200,0,593,207,0.74125,1,0.252207,1,0.747793,0.40282,0.793,1.261034,0.006342
200,0,592,208,0.74,1,0.252525,1,0.747475,0.403226,0.792,1.262626,0.006351
200,0,591,209,0.73875,1,0.252845,1,0.747155,0.403633,0.791,1.264223,0.006428
200,0,590,210,0.7375,1,0.253165,1,0.746835,0.40404,0.79,1.265823,0.006461
200,0,589,211,0.73625,1,0.253485,1,0.746515,0.404449,0.789,1.267427,0.006493
200,0,588,212,0.735,1,0.253807,1,0.746193,0.404858,0.788,1.269036,0.006567
200,0,587,213,0.73375,1,0.25413,1,0.74587,0.405268,0.787,1.270648,0.006578
200,0,586,214,0.7325,1,0.254453,1,0.745547,0.40568,0.786,1.272265,0.006616
200,0,585,215,0.73125,1,0.254777,1,0.745223,0.406091,0.785,1.273885,0.006618
200,0,584,216,0.73,1,0.255102,1,0.744898,0.406504,0.784,1.27551,0.006629
200,0,583,217,0.72875,1,0.255428,1,0.744572,0.406918,0.783,1.277139,0.006691
200,0,582,218,0.7275,1,0.255754,1,0.744246,0.407332,0.782,1.278772,0.006747
200,0,581,219,0.72625,1,0.256082,1,0.743918,0.407747,0.781,1.28041,0.006752
200,0,580,220,0.725,1,0.25641,1,0.74359,0.408163,0.78,1.282051,0.006768
200,0,579,221,0.72375,1,0.256739,1,0.743261,0.40858,0.779,1.283697,0.006783
200,0,578,222,0.7225,1,0.257069,1,0.742931,0.408998,0.778,1.285347,0.006858
200,0,577,223,0.72125,1,0.2574,1,0.7426,0.409417,0.777,1.287001,0.006956
200,0,576,224,0.72,1,0.257732,1,0.742268,0.409836,0.776,1.28866,0.00698
200,0,575,225,0.71875,1,0.258065,1,0.741935,0.410256,0.775,1.290323,0.007006
200,0,574,226,0.7175,1,0.258398,1,0.741602,0.410678,0.774,1.29199,0.007007
200,0,573,227,0.71625,1,0.258732,1,0.741268,0.4111,0.773,1.293661,0.007165
200,0,572,228,0.715,1,0.259067,1,0.740933,0.411523,0.772,1.295337,0.007189
200,0,571,229,0.71375,1,0.259403,1,0.740597,0.411946,0.771,1.297017,0.007226
199,1,571,229,0.71375,0.995,0.258442,0.995,0.741558,0.410309,0.77,1.292208,0.007269
199,1,570,230,0.7125,0.995,0.258778,0.995,0.741222,0.410733,0.769,1.293888,0.007273
199,1,569,231,0.71125,0.995,0.259115,0.995,0.740885,0.411157,0.768,1.295573,0.007287
199,1,568,232,0.71,0.995,0.259452,0.995,0.740548,0.411582,0.767,1.297262,0.007295
199,1,567,233,0.70875,0.995,0.259791,0.995,0.740209,0.412008,0.766,1.298956,0.00751
199,1,566,234,0.7075,0.995,0.260131,0.995,0.739869,0.412435,0.765,1.300654,0.007521
199,1,565,235,0.70625,0.995,0.260471,0.995,0.739529,0.412863,0.764,1.302356,0.007643
199,1,564,236,0.705,0.995,0.260813,0.995,0.739187,0.413292,0.763,1.304063,0.007712
199,1,563,237,0.70375,0.995,0.261155,0.995,0.738845,0.413721,0.762,1.305774,0.007768
199,1,562,238,0.7025,0.995,0.261498,0.995,0.738502,0.414152,0.761,1.30749,0.007791
199,1,561,239,0.70125,0.995,0.261842,0.995,0.738158,0.414583,0.76,1.309211,0.007934
199,1,560,240,0.7,0.995,0.262187,0.995,0.737813,0.415016,0.759,1.310935,0.007978
199,1,559,241,0.69875,0.995,0.262533,0.995,0.737467,0.415449,0.758,1.312665,0.008132
198,2,559,241,0.69875,0.99,0.261559,0.99,0.738441,0.413793,0.757,1.307794,0.008147
198,2,558,242,0.6975,0.99,0.261905,0.99,0.738095,0.414226,0.756,1.309524,0.008213
198,2,557,243,0.69625,0.99,0.262252,0.99,0.737748,0.41466,0.755,1.311258,0.00827
198,2,556,244,0.695,0.99,0.262599,0.99,0.737401,0.415094,0.754,1.312997,0.008271
198,2,555,245,0.69375,0.99,0.262948,0.99,0.737052,0.41553,0.753,1.314741,0.008284
198,2,554,246,0.6925,0.99,0.263298,0.99,0.736702,0.415966,0.752,1.316489,0.008289
198,2,553,247,0.69125,0.99,0.263648,0.99,0.736352,0.416404,0.751,1.318242,0.008319
198,2,552,248,0.69,0.99,0.264,0.99,0.736,0.416842,0.75,1.32,0.008369
198,2,551,249,0.68875,0.99,0.264352,0.99,0.735648,0.417281,0.749,1.321762,0.00844
198,2,550,250,0.6875,0.99,0.264706,0.99,0.735294,0.417722,0.748,1.323529,0.008453
198,2,549,251,0.68625,0.99,0.26506,0.99,0.73494,0.418163,0.747,1.325301,0.008515
198,2,548,252,0.685,0.99,0.265416,0.99,0.734584,0.418605,0.746,1.327078,0.008565
198,2,547,253,0.68375,0.99,0.265772,0.99,0.734228,0.419048,0.745,1.328859,0.00857
198,2,546,254,0.6825,0.99,0.266129,0.99,0.733871,0.419492,0.744,1.330645,0.008605
198,2,545,255,0.68125,0.99,0.266487,0.99,0.733513,0.419936,0.743,1.332436,0.008632
198,2,544,256,0.68,0.99,0.266846,0.99,0.733154,0.420382,0.742,1.334232,0.008709
198,2,543,257,0.67875,0.99,0.267206,0.99,0.732794,0.420829,0.741,1.336032,0.00884
198,2,542,258,0.6775,0.99,0.267568,0.99,0.732432,0.421277,0.74,1.337838,0.008848
198,2,541,259,0.67625,0.99,0.26793,0.99,0.73207,0.421725,0.739,1.339648,0.008856
198,2,540,260,0.675,0.99,0.268293,0.99,0.731707,0.422175,0.738,1.341463,0.008993
198,2,539,261,0.67375,0.99,0.268657,0.99,0.731343,0.422625,0.737,1.343284,0.009006
198,2,538,262,0.6725,0.99,0.269022,0.99,0.730978,0.423077,0.736,1.345109,0.009067
198,2,537,263,0.67125,0.99,0.269388,0.99,0.730612,0.423529,0.735,1.346939,0.009208
198,2,536,264,0.67,0.99,0.269755,0.99,0.730245,0.423983,0.734,1.348774,0.00921
198,2,535,265,0.66875,0.99,0.270123,0.99,0.729877,0.424437,0.733,1.350614,0.009275
198,2,534,266,0.6675,0.99,0.270492,0.99,0.729508,0.424893,0.732,1.352459,0.009329
198,2,533,267,0.66625,0.99,0.270862,0.99,0.729138,0.425349,0.731,1.354309,0.009361
198,2,532,268,0.665,0.99,0.271233,0.99,0.728767,0.425806,0.73,1.356164,0.009388
197,3,532,268,0.665,0.985,0.270233,0.985,0.729767,0.424112,0.729,1.351166,0.009395
197,3,531,269,0.66375,0.985,0.270604,0.985,0.729396,0.424569,0.728,1.353022,0.009416
197,3,530,270,0.6625,0.985,0.270977,0.985,0.729023,0.425027,0.727,1.354883,0.00943
197,3,529,271,0.66125,0.985,0.27135,0.985,0.72865,0.425486,0.726,1.356749,0.009637
197,3,528,272,0.66,0.985,0.271724,0.985,0.728276,0.425946,0.725,1.358621,0.009722
197,3,527,273,0.65875,0.985,0.272099,0.985,0.727901,0.426407,0.724,1.360497,0.009752
197,3,526,274,0.6575,0.985,0.272476,0.985,0.727524,0.426869,0.723,1.362379,0.009822
197,3,525,275,0.65625,0.985,0.272853,0.985,0.727147,0.427332,0.722,1.364266,0.010035
197,3,524,276,0.655,0.985,0.273232,0.985,0.726768,0.427796,0.721,1.366158,0.010086
197,3,523,277,0.65375,0.985,0.273611,0.985,0.726389,0.428261,0.72,1.368056,0.010161
197,3,522,278,0.6525,0.985,0.273992,0.985,0.726008,0.428727,0.719,1.369958,0.010274
197,3,521,279,0.65125,0.985,0.274373,0.985,0.725627,0.429194,0.718,1.371866,0.010298
197,3,520,280,0.65,0.985,0.274756,0.985,0.725244,0.429662,0.717,1.37378,0.01037
197,3,519,281,0.64875,0.985,0.27514,0.985,0.72486,0.430131,0.716,1.375698,0.010379
197,3,518,282,0.6475,0.985,0.275524,0.985,0.724476,0.430601,0.715,1.377622,0.010497
197,3,517,283,0.64625,0.985,0.27591,0.985,0.72409,0.431072,0.714,1.379552,0.010635
197,3,516,284,0.645,0.985,0.276297,0.985,0.723703,0.431544,0.713,1.381487,0.010772
197,3,515,285,0.64375,0.985,0.276685,0.985,0.723315,0.432018,0.712,1.383427,0.01084
197,3,514,286,0.6425,0.985,0.277075,0.985,0.722925,0.432492,0.711,1.385373,0.010931
197,3,513,287,0.64125,0.985,0.277465,0.985,0.722535,0.432967,0.71,1.387324,0.010994
197,3,512,288,0.64,0.985,0.277856,0.985,0.722144,0.433443,0.709,1.389281,0.011041
197,3,511,289,0.63875,0.985,0.278249,0.985,0.721751,0.433921,0.708,1.391243,0.011103
197,3,510,290,0.6375,0.985,0.278642,0.985,0.721358,0.434399,0.707,1.393211,0.011249
197,3,509,291,0.63625,0.985,0.279037,0.985,0.720963,0.434879,0.706,1.395184,0.011309
197,3,508,292,0.635,0.985,0.279433,0.985,0.720567,0.435359,0.705,1.397163,0.011563
197,3,507,293,0.63375,0.985,0.27983,0.985,0.72017,0.435841,0.704,1.399148,0.011666
197,3,506,294,0.6325,0.985,0.280228,0.985,0.719772,0.436323,0.703,1.401138,0.012013
197,3,505,295,0.63125,0.985,0.280627,0.985,0.719373,0.436807,0.702,1.403134,0.012064
197,3,504,296,0.63,0.985,0.281027,0.985,0.718973,0.437292,0.701,1.405136,0.012425
197,3,503,297,0.62875,0.985,0.281429,0.985,0.718571,0.437778,0.7,1.407143,0.012484
197,3,502,298,0.6275,0.985,0.281831,0.985,0.718169,0.438265,0.699,1.409156,0.012536
197,3,501,299,0.62625,0.985,0.282235,0.985,0.717765,0.438753,0.698,1.411175,0.012602
197,3,500,300,0.625,0.985,0.28264,0.985,0.71736,0.439242,0.697,1.413199,0.012675
